nome,prob_fem
maria,0.9966430401438402
ana,0.9967218558263843
francisca,0.9944807494604777
antonia,0.9931985526682017
adriana,0.9958677249422503
juliana,0.9962511466143444
marcia,0.9966570707198404
fernanda,0.9941094740227805
patricia,0.9969514089612382
aline,0.9963496874371015
sandra,0.9976081385739177
camila,0.9963779717914407
amanda,0.996123765093304
bruna,0.9940070931165704
jessica,0.9960461198732664
leticia,0.9963914165296996
julia,0.9958897003996832
luciana,0.9962169767803042
vanessa,0.9968340981477325
mariana,0.9958031962481775
gabriela,0.9925507664090135
vera,0.9979944715326375
vitoria,0.9940190350240106
larissa,0.9963465019552571
claudia,0.996330954063211
beatriz,0.9961526696992572
rita,0.997659976599766
luana,0.9952989054167836
sonia,0.9979392994181054
renata,0.994795404047827
eliane,0.9976483821335322
josefa,0.9946790190481194
simone,0.9971688609951864
natalia,0.9965138402629083
cristiane,0.9953100763405213
carla,0.9958675662107724
debora,0.9964707418768136
rosangela,0.9978674060516776
jaqueline,0.9961114795464471
rosa,0.9972394395541434
aparecida,0.996697629134542
daniela,0.9954158588281686
marlene,0.9972340918877737
terezinha,0.9975722067837759
raimunda,0.992468886646485
andreia,0.9961655654079222
fabiana,0.9952999212085917
lucia,0.9973464574860116
raquel,0.9936979557634901
angela,0.9973529031980373
rafaela,0.9916405167680543
joana,0.9957142645292364
luzia,0.9974126079367286
elaine,0.9975104347792262
regina,0.9976174106825348
daniele,0.991905995952998
sueli,0.9971993262028588
daiane,0.9958787561930981
alessandra,0.9944178333805355
isabel,0.9969330785215352
sara,0.9960006146333968
bianca,0.9963203046445457
flavia,0.9954425747315138
erica,0.9958285930982177
viviane,0.9973616033133756
silvana,0.9976372747818164
priscila,0.9970062027177226
paula,0.9934225009771899
luiza,0.9961273529505127
tereza,0.9972568714687338
isabela,0.9966664207594843
marta,0.9967528993631403
caroline,0.99559087845428
janaina,0.996779410997434
laura,0.9966516107889375
marli,0.9960847108910609
tatiane,0.9967085648865885
marina,0.9962501558439067
silvia,0.9970904076363352
monica,0.9970185848085127
tais,0.9949880503268878
michele,0.9927129795102053
solange,0.9975957693538068
edna,0.997199567160291
fatima,0.9971173699913672
helena,0.9973379354322819
cristina,0.9974571609461437
alice,0.9956829293664828
carolina,0.9962138049691195
rosana,0.9974942861336521
andressa,0.9956659380417577
celia,0.9977237746320102
valeria,0.9970242612145784
eliana,0.9978672060949533
sabrina,0.9966266428416359
andrea,0.9934977909525594
tania,0.9978795884315906
barbara,0.996270616661414
thais,0.9952599929253626
denise,0.9961669078345097
roseli,0.9958444414231754
gisele,0.9965949571496828
marilene,0.9972687401531696
katia,0.9976661921664701
eva,0.9973795167630202
milena,0.9961833980961003
eduarda,0.9890609918646872
elisangela,0.997766250695925
vilma,0.9956994114984156
geovana,0.9930519797051898
luciene,0.9970759223287549
tamires,0.9943151375987197
tatiana,0.9971731646561617
roberta,0.99269259437281
elza,0.9975000176552425
talita,0.9961146325208095
marcela,0.9925921177283444
pamela,0.9957790380535954
vania,0.9976055661489643
irene,0.9949962180717985
josiane,0.9951853529523503
livia,0.9968477153267014
cintia,0.9969077087486073
ivone,0.9938817543009449
lais,0.9951964433888293
benedita,0.9958634070624758
sebastiana,0.9945250797940498
taina,0.9796189394172015
joice,0.9923710019990005
mirian,0.9960300861068798
elizabete,0.9976993679316107
angelica,0.9966911794448624
gabriele,0.9823403982428576
brenda,0.9948289086275577
veronica,0.9972376843282399
rosilene,0.9975464393656399
karina,0.9967594163556159
nair,0.9918910347074
neusa,0.9980360122358176
margarida,0.9970355817127557
neuza,0.9977178296734406
neide,0.994917698368036
raissa,0.9956529391059487
maiara,0.9954178136932776
lorena,0.9964028136408156
franciele,0.9940444973822455
samara,0.9960551197488305
lilian,0.9963419665367866
janete,0.9971581241780173
cicera,0.9957573303392295
